text,emotion_class
ပန်းခြံထဲမှာ လှပတဲ့နေ့လေးတစ်နေ့ကို ပျော်ရွှင်စွာဖြတ်သန်းနေပါတယ်,Joy
ဒီမနက် လမ်းအရမ်းပိတ်တယ်,Anger
အရမ်းကောင်းတဲ့ လေ့ကျင့်ခန်းတစ်ခု ခုပဲပြီးသွားပြီ! 💪,Joy
လာမယ့် စနေ၊ တနင်္ဂနွေ အပန်းဖြေခရီးအတွက် စိတ်လှုပ်ရှားနေပါတယ်,Joy
ဒီည ညစာအတွက် ဟင်းချက်နည်းအသစ်တစ်ခု စမ်းသပ်ချက်ပြုတ်နေပါတယ်,Sadness
ဘဝရဲ့ သေးငယ်တဲ့အရာလေးတွေအတွက် ကျေးဇူးတင်မိပါတယ်,Joy
မိုးရွာတဲ့နေ့တွေက နွေးထွေးတဲ့စောင်တွေနဲ့ ပူပူနွေးနွေး ကိုကိုးသောက်ဖို့ တောင်းဆိုနေသလိုပါပဲ,Joy
အသစ်ထွက်ရှိတဲ့ ရုပ်ရှင်က ကြည့်ကိုကြည့်သင့်တဲ့ ဇာတ်ကားပါ,Joy
Timeline မှာ နိုင်ငံရေးဆွေးနွေးမှုတွေ ပူလောင်နေပါတယ်,Anger
နွေရာသီရဲ့ ခံစားချက်တွေနဲ့ ကမ်းခြေနေ့ရက်တွေကို လွမ်းနေပါတယ်,Sadness
ဘလော့ဂ်ပို့စ်အသစ်တစ်ခု ခုပဲတင်လိုက်တယ် ဝင်ကြည့်လိုက်ပါဦး,Joy
ဒီနေ့ နည်းနည်းနေလို့မကောင်းဘူး,Anger
မြို့ရဲ့ လျှို့ဝှက်နေရာလေးတွေကို စူးစမ်းရှာဖွေနေပါတယ်,Joy
နှစ်သစ်၊ ကျန်းမာရေးပန်းတိုင်အသစ်! 💪,Joy
နည်းပညာက ကျွန်တော်တို့ရဲ့ နေထိုင်မှုပုံစံကို ပြောင်းလဲနေပါတယ်,Sadness
အတိတ်ကို ပြန်လည်သုံးသပ်ပြီး အနာဂတ်ကို မျှော်ကြည့်နေပါတယ်,Joy
ချစ်စရာကောင်းတဲ့ အမွှေးပွသူငယ်ချင်းလေးတစ်ကောင် ခုပဲမွေးစားလိုက်ပြီ! 🐾,Joy
သူငယ်ချင်းတွေနဲ့ ညဉ့်နက် ဂိမ်းကစားပွဲ,Joy
AI ဆိုင်ရာ virtual conference တစ်ခု တက်ရောက်နေပါတယ်,Sadness
ဆောင်းရာသီရဲ့ စိတ်ဓာတ်ကျမှုတွေက ကျွန်တော့်ကို စိတ်ဓာတ်ကျစေတယ်,Anger
ကော်ဖီသောက်ရင်း စာအုပ်ကောင်းတစ်အုပ် ဖတ်ရှုခံစားနေပါတယ်,Joy
Virtual reality လောကကို စူးစမ်းရှာဖွေနေပါတယ်,Joy
လုပ်စရာစာရင်းထဲက အလုပ်တွေကို တစ်ခုပြီးတစ်ခု အမှန်ခြစ်ပြီး အကျိုးရှိတဲ့နေ့တစ်နေ့,Joy
စိန်ခေါ်မှုရှိတဲ့ လေ့ကျင့်ခန်းတစ်ခု ခုပဲပြီးသွားပြီ,Joy
အလုပ်မှာ အရေးပါတဲ့ မှတ်တိုင်တစ်ခုကို အောင်ပွဲခံနေပါတယ်! 🎉,Joy
သူငယ်ချင်းတွေနဲ့ တနင်္ဂနွေနေ့လည်စာ,Joy
ကိုယ်ပိုင်တိုးတက်မှုအတွက် ဘာသာစကားအသစ်တစ်ခု လေ့လာနေပါတယ်,Joy
စာအုပ်ကောင်းတစ်အုပ်နဲ့ တိတ်ဆိတ်ငြိမ်သက်တဲ့ ညနေခင်း,Joy
စိတ်ကျန်းမာရေးရဲ့ အရေးပါပုံကို ပြန်လည်သုံးသပ်နေပါတယ်,Joy
ပန်းချီကားအသစ်တစ်ခု ရေးဆွဲနေဆဲ! 🎨,Joy
ရှုခင်းလှတဲ့နေရာတွေကို စူးစမ်းဖို့ စနေ၊ တနင်္ဂနွေ ကားနဲ့ခရီးထွက်ခြင်း,Joy
လက်ဖက်ရည်တစ်ခွက်သောက်ရင်း နေဝင်ချိန်ကို ကြည့်ရှုခံစားနေပါတယ်,Joy
စိတ်အားထက်သန်စွာနဲ့ ပရောဂျက်အသစ်တစ်ခုကို coding ရေးနေပါတယ်,Joy
Workshop တစ်ခု တက်ရောက်ပြီးနောက် စိတ်အားတက်ကြွမှု ခံစားရပါတယ်,Joy
ဒေသခံပန်းခြံမှာ ဆောင်းရာသီ အားကစားနေ့,Joy
ဒီစနေ၊ တနင်္ဂနွေ မိသားစုနဲ့အတူ အရည်အသွေးရှိတဲ့အချိန် ဖြတ်သန်းခြင်း,Joy
ဒီည တိုက်ရိုက်ဂီတဖျော်ဖြေပွဲတစ်ခု တက်ရောက်မှာပါ,Joy
တရားထိုင်ခြင်းနဲ့အတူ သတိပဋ္ဌာန် ကျင့်ကြံနေပါတယ်,Joy
အချိုပွဲချက်နည်းအသစ်တစ်ခု စမ်းသပ်လုပ်ကိုင်နေပါတယ်,Joy
လာမယ့် ဂိမ်းပြိုင်ပွဲအတွက် စိတ်လှုပ်ရှားနေပါတယ်,Joy
ဒီည သူငယ်ချင်းတစ်ယောက်ရဲ့ မွေးနေ့ကို ဂုဏ်ပြုကျင်းပနေပါတယ်! 🎂,Joy
အကျိုးရှိတဲ့နေ့တစ်နေ့ပြီးနောက် အောင်မြင်မှုခံစားရပါတယ်,Joy
ရုပ်ရှင်ကောင်းတစ်ကားနဲ့ နွေးထွေးတဲ့ ညနေခင်း,Joy
ဒီစနေ၊ တနင်္ဂနွေ ဒေသခံအနုပညာပြခန်းတွေကို စူးစမ်းရှာဖွေနေပါတယ်,Joy
ကျွန်တော့်အကြိုက်ဆုံး စာရေးဆရာဆီက စာအုပ်အသစ်ထွက်ရှိခြင်း!,Joy
Virtual reality တွေ့ဆုံပွဲတစ်ခု တက်ရောက်နေပါတယ်,Joy
သဘာဝတရားရဲ့ အလှတရားကို ပြန်လည်သုံးသပ်နေပါတယ်,Joy
ချစ်ခင်ရသူတွေအတွက် အထူးညစာတစ်နပ် ချက်ပြုတ်နေပါတယ်,Joy
လာမယ့်အပတ်အတွက် အကောင်းမြင်စိတ် ခံစားရပါတယ်,Joy
မနက်ဖြန် ကျန်းမာရေးစိန်ခေါ်မှုအသစ်တစ်ခု စတင်တော့မယ်! 💪,Joy
ရှုခင်းသာယာတဲ့လမ်းတွေတစ်လျှောက် တနင်္ဂနွေနေ့ စက်ဘီးစီးခြင်း,Joy
ကျွန်တော်တို့ လူ့အဖွဲ့အစည်းမှာ ဖြစ်ပျက်နေတဲ့ မတရားမှုတွေကို မယုံနိုင်ဘူး,Anger
သည်းထိတ်ရင်ဖိုရုပ်ရှင်တစ်ကား ကြည့်ပြီးနောက် ကြောက်ရွံ့မှု ခံစားရပါတယ်,Fear
သဘာဝဘေးအန္တရာယ် သတင်းကြားပြီးနောက် ရင်ကွဲပက်လက်ဖြစ်ရပါတယ်,Sadness
ကမ္ဘာ့ပတ်ဝန်းကျင် အခြေအနေက တကယ်ကို စက်ဆုပ်စရာကောင်းတယ်,Anger
စစ်မှန်တဲ့ ပျော်ရွှင်မှု - ချစ်ခင်ရသူတစ်ယောက်ရဲ့ အောင်မြင်မှုကို ဂုဏ်ပြုခြင်း!,Joy
ရယ်မောခြင်းက အကောင်းဆုံးဆေးပါပဲ—ဟာသပြပွဲတစ်ခုကို ကြည့်ရှုခံစားနေပါတယ်,Joy
လူတိုင်းနဲ့အတူ အချစ်နဲ့ အကောင်းမြင်စိတ်ဓာတ်တွေကို မျှဝေနေပါတယ်! ❤️,Love
ရယ်စရာကောင်းတဲ့ အဖြစ်အပျက်တစ်ခုက ကျွန်တော့်ရဲ့နေ့ကို ပျော်ရွှင်စေခဲ့တယ်,Joy
စာအုပ်တစ်အုပ်နဲ့ လက်ဖက်ရည်သောက်ရင်း တိတ်ဆိတ်ငြိမ်သက်တဲ့ ညနေခင်းကို ခံစားနေပါတယ်,Joy
ငြိမ်းချမ်းတဲ့ တောင်တက်ခရီးတစ်ခုအတွင်း သဘာဝတရားရဲ့ အလှကို တန်ဖိုးထားလေးစားနေပါတယ်,Love
ကျွန်တော့် follower အားလုံးဆီသို့ ချစ်ခင်ကြင်နာတဲ့ ခံစားချက်တွေ ပို့သလိုက်ပါတယ်,Love
ရင်သပ်ရှုမောဖွယ် နေဝင်ချိန်ကို အံ့သြတကြီး ခံစားနေရပါတယ်,Surprise
ဒေသခံ စားသောက်ဆိုင်တစ်ခုက ဝန်ဆောင်မှုကို စိတ်ပျက်မိပါတယ်,Sadness
သူငယ်ချင်းတစ်ယောက်ဆီက အံ့အားသင့်ဖွယ် လက်ဆောင်တစ်ခုက ကျွန်တော့်ရဲ့နေ့ကို ပျော်ရွှင်စေခဲ့တယ်,Surprise
ဘဝရဲ့ စိန်ခေါ်မှုတွေကြားထဲမှာ လက်ခံမှုကို ရှာဖွေတွေ့ရှိခြင်း,Joy
ကျွန်တော့်ရဲ့ ချစ်စရာကောင်းတဲ့ အိမ်မွေးတိရစ္ဆာန်လေးအတွက် အလွန်အမင်း ချစ်ခင်မြတ်နိုးမှုတွေ ပြည့်လျှံနေပါတယ်! 🐾,Love
လာမယ့်ရက်သတ္တပတ်တွေအတွင်း စိတ်လှုပ်ရှားစရာကောင်းတဲ့ စွန့်စားခန်းတစ်ခုကို မျှော်လင့်နေပါတယ်,Joy
ခါးသီးတဲ့ အတွေ့အကြုံတစ်ခုက တန်ဖိုးရှိတဲ့ သင်ခန်းစာတစ်ခု ဖြစ်သွားခဲ့တယ်,Anger
အလုပ်များတဲ့နေ့တစ်နေ့ရဲ့ အလယ်မှာ တည်ငြိမ်မှုကို ရှာဖွေတွေ့ရှိခြင်း,Joy
ဆုံးဖြတ်ချက်တွေ ချမှတ်ရာမှာ ရှုပ်ထွေးမှုတွေက ကျွန်တော့်စိတ်ကို လွှမ်းခြုံနေတယ်,Surprise
လာမယ့် အားလပ်ရက်အတွက် စိတ်လှုပ်ရှားမှုတွေ တိုးပွားလာနေပါတယ်,Joy
ဒီနေ့ တွေ့မြင်ခဲ့ရတဲ့ ကြင်နာမှုက လူသားမျိုးနွယ်အပေါ် ကျွန်တော့်ရဲ့ ယုံကြည်မှုကို ပြန်လည်တည်ဆောက်ပေးခဲ့တယ်,Love
ကိုယ်ပိုင်မှတ်တိုင်တစ်ခုကို အောင်မြင်မှုအတွက် ဂုဏ်ယူခြင်း,Joy
မတရားမှုကို ဆန့်ကျင်မရပ်တည်ခဲ့မိတဲ့အတွက် ရှက်ရွံ့မိတဲ့အခိုက်အတန့်,Fear
ပြင်းထန်တဲ့ ငြင်းခုံမှုတစ်ခုပြီးနောက် ဒေါသတွေ ပေါက်ကွဲနေပါတယ်,Anger
မသိသေးတဲ့အရာတွေအပေါ် ကြောက်ရွံ့မှုက ကျွန်တော့်ကို ညဘက် အိပ်မပျော်စေဘူး,Fear
ချစ်ခင်ရတဲ့ သူငယ်ချင်းတစ်ယောက်ကို နှုတ်ဆက်ခွဲခွာပြီးနောက် ရင်ထဲက ဝမ်းနည်းမှု,Sadness
ကျွန်တော်တို့ လူ့အဖွဲ့အစည်းထဲက အကျင့်ပျက်ခြစားမှု အခြေအနေက လုံးဝကို စက်ဆုပ်စရာကောင်းတယ်,Anger
ပျော်ရွှင်မှုတွေ ပြည့်လျှံနေခြင်း - မိသားစုဝင်အသစ်တစ်ယောက်ကို ကြိုဆိုခြင်း!,Joy
ရယ်မောခြင်းက ပျော်ရွှင်မှုရဲ့ သော့ချက်ပါပဲ—Stand-up comedy ပွဲတစ်ခု တက်ရောက်နေပါတယ်,Joy
ဒီလှပတဲ့နေ့လေးမှာ ကျွန်တော့် follower အားလုံးဆီသို့ အချစ်တွေ ပို့သလိုက်ပါတယ်! ❤️,Love
ကျွန်တော့် အိမ်မွေးတိရစ္ဆာန်လေးရဲ့ ချစ်စဖွယ် အပြုအမူလေးတွေကြောင့် ပျော်ရွှင်မိခြင်း—ဒါက စစ်မှန်တဲ့ ပျော်ရွှင်မှုပါပဲ!,Joy
ဒီခရီးစဉ်ရဲ့ အခိုက်အတန့်တိုင်းကို ခံစားနေခြင်း—စစ်မှန်တဲ့ ပျော်ရွှင်မှု!,Joy
ဒေသခံ ပရဟိတလုပ်ငန်းတစ်ခုက စေတနာ့ဝန်ထမ်းတွေရဲ့ စိတ်အားထက်သန်မှုကို လေးစားမိပါတယ်,Love
သူငယ်ချင်းတွေနဲ့ မိသားစုဆီသို့ ချစ်ခင်ကြင်နာတဲ့ ခံစားချက်တွေ ပို့သလိုက်ပါတယ်,Love
ညကောင်းကင်ရဲ့ အလှတရားကို အံ့သြတကြီး ငေးမောမိပါတယ်,Surprise
ကိုယ်ပိုင် ပရောဂျက်တစ်ခုမှာ တိုးတက်မှုမရှိတာကို စိတ်ပျက်မိပါတယ်,Sadness
သူငယ်ချင်းဟောင်းတစ်ယောက်ရဲ့ အံ့အားသင့်ဖွယ် လာရောက်လည်ပတ်မှုက ပျော်ရွှင်မျက်ရည်တွေ ကျစေခဲ့တယ်,Surprise
ဘဝရဲ့ အနိမ့်အမြင့်တွေကို လက်ခံမှုကို ပွေ့ဖက်ခြင်း,Joy
ချစ်စရာကောင်းတဲ့ ကယ်ဆယ်ထားတဲ့ ခွေးပေါက်လေးအတွက် အလွန်အမင်း ချစ်ခင်မြတ်နိုးမှုတွေ ပြည့်လျှံနေပါတယ်! 🐶,Love
အရမ်းစောင့်မျှော်နေတဲ့ ရုပ်ရှင်တစ်ကား ထွက်ရှိလာဖို့ မျှော်လင့်နေပါတယ်,Joy
Customer service ဌာနမှာ ခါးသီးတဲ့ အတွေ့အကြုံ,Anger
နေ့စဉ်ဘဝရဲ့ ရှုပ်ထွေးမှုတွေကြားထဲမှာ တည်ငြိမ်မှုကို ရှာဖွေတွေ့ရှိခြင်း,Joy
လတ်တလော အဖြစ်အပျက်တွေကို နားလည်အောင် ကြိုးစားရာမှာ ရှုပ်ထွေးမှုတွေက လွှမ်းမိုးနေတယ်,Surprise
အံ့အားသင့်ဖွယ် မွေးနေ့ပါတီတစ်ခုအတွက် စိတ်လှုပ်ရှားမှုတွေ တိုးပွားလာနေပါတယ်,Joy
ကျွန်တော့်ရဲ့နေ့ကို ပျော်ရွှင်စေခဲ့တဲ့ ကြင်နာမှုလုပ်ရပ်တစ်ခုကို တွေ့မြင်ခဲ့ရတယ်,Love
စိန်ခေါ်မှုရှိတဲ့ ကျန်းမာရေးစိန်ခေါ်မှုတစ်ခုကို ပြီးမြောက်အောင်မြင်မှုအတွက် ဂုဏ်ယူခြင်း,Joy
မတရားမှုကို ဆန့်ကျင်မပြောဆိုခဲ့မိတဲ့အတွက် ရှက်ရွံ့မိတဲ့အခိုက်အတန့်,Fear
ကျွန်တော်တို့ ကမ္ဘာလောကထဲက ကွဲပြားမှုရဲ့ အလှတရားကို ပြန်လည်သုံးသပ်နေပါတယ်,Joy
စာအုပ်ကောင်းတစ်အုပ်နဲ့ တိတ်ဆိတ်ငြိမ်သက်တဲ့ ညနေခင်းအတွက် စိတ်လှုပ်ရှားခြင်း,Joy
အလုပ်ခွင်ထဲက မတရားမှုတွေအပေါ် ခါးသီးမှု ခံစားရပါတယ်,Anger
သတိပဋ္ဌာန် ကျင့်ကြံနေချိန်မှာ တည်ငြိမ်မှုက လွှမ်းမိုးနေပါတယ်,Joy
ဘဝရဲ့ ရွေးချယ်မှုတွေကြားထဲမှာ လမ်းညွှန်ရာမှာ ရှုပ်ထွေးမှုတွေက ကျွန်တော့်ကို ဝန်းရံနေတယ်,Surprise
နေရာအသစ်တွေ စူးစမ်းဖို့ စနေ၊ တနင်္ဂနွေ ကားနဲ့ခရီးထွက်ဖို့ စိတ်လှုပ်ရှားခြင်း,Joy
ဒီနေ့ တွေ့မြင်ခဲ့ရတဲ့ ကြင်နာမှုက လူသားမျိုးနွယ်အပေါ် ကျွန်တော့်ရဲ့ ယုံကြည်မှုကို ပြန်လည်တည်ဆောက်ပေးခဲ့တယ်,Love
ကိုယ်ပိုင်နဲ့ အသက်မွေးဝမ်းကျောင်းဆိုင်ရာ ပန်းတိုင်တွေကို အောင်မြင်မှုအတွက် ဂုဏ်ယူခြင်း,Joy
ခက်ခဲတဲ့ အခြေအနေတစ်ခုမှာ ကိုယ့်တန်ဖိုးတွေကို သစ္စာမရှိခဲ့မိတဲ့အတွက် ရှက်ရွံ့ခြင်း,Fear
အမှတ်တရဟောင်းတွေကို ပြန်လည်လည်ပတ်ရင်း၊ ရွှင်လန်းတက်ကြွမှု ခံစားရပါတယ်,Joy
ကျွန်တော်တို့အသင်းရဲ့ အောင်ပွဲက မြို့အတွက် အလွန်အမင်း ပျော်ရွှင်မှုကို ဆောင်ကြဉ်းပေးခဲ့တယ်,Joy
သဘာဝတရားရဲ့ အလှကို ပွေ့ဖက်ရင်း၊ ကျေနပ်မှုရရှိတဲ့ အခိုက်အတန့်,Joy
တည်ငြိမ်အေးချမ်းတဲ့ ကန်နဘေးမှာ တရားထိုင်ရင်း၊ အတွင်းစိတ် ငြိမ်းချမ်းမှုကို ရှာဖွေတွေ့ရှိခြင်း,Joy
ဘဝရဲ့ ကောင်းချီးမင်္ဂလာတွေအတွက် ကျေးဇူးတင်မှုတွေ ပြည့်လျှံနေပါတယ်,Love
စိန်ခေါ်မှုတွေကြားကပဲ၊ ပိုမိုတောက်ပတဲ့ မနက်ဖြန်အတွက် မျှော်လင့်ချက်ရှိပါတယ်,Joy
ကျွန်တော့်ရဲ့ လူမှုအသိုင်းအဝိုင်းမှာ ပြောင်းလဲမှုတစ်ခု ပြုလုပ်ဖို့ စွမ်းဆောင်နိုင်မှု ခံစားရပါတယ်,Joy
လက်တွေ့လုပ်ဆောင်မှုထဲက ကရုဏာတရား - ဒေသခံ ပရဟိတပွဲတစ်ခုကို ပံ့ပိုးကူညီခြင်း,Love
ချစ်ခင်ရသူတွေနဲ့ ချိတ်ဆက်ရင်း၊ နူးညံ့ကြင်နာမှု ခံစားရတဲ့ အခိုက်အတန့်,Love
အထူးကြေညာချက်တစ်ခုကို စောင့်မျှော်နေချိန်မှာ စိတ်လှုပ်ရှားမှုတွေ ဖြစ်ပေါ်လာခြင်း,Joy
ပရောဂျက်အသစ်တစ်ခုထဲသို့ စိတ်အားထက်သန်စွာ ခုန်ဆင်းဝင်ရောက်ခြင်း,Joy
မှတ်တိုင်တစ်ခုကို ရောက်ရှိပြီးနောက် ပြည့်စုံမှု ခံစားရပါတယ်,Joy
သမိုင်းဝင် အထင်ကရနေရာတစ်ခုရဲ့ အလှတရားအတွက် ရိုသေလေးစားမှု,Love
သူငယ်ချင်းဟောင်းတွေနဲ့ အံ့အားသင့်ဖွယ် ပြန်လည်ဆုံစည်းပြီးနောက် ရွှင်လန်းတက်ကြွမှု,Joy
ကြယ်တွေအောက်က တိုက်ရိုက်ဂီတဖျော်ဖြေပွဲတစ်ခုရဲ့ အလွန်အမင်း ပျော်ရွှင်မှု,Joy
တိတ်ဆိတ်ငြိမ်သက်တဲ့ တနင်္ဂနွေနေ့ရဲ့ ရိုးရှင်းမှုထဲက ကျေနပ်မှု,Joy
အကြိုက်ဆုံး စာအုပ်တစ်အုပ်ရဲ့ စာမျက်နှာတွေထဲမှာ တွေ့ရှိရတဲ့ တည်ငြိမ်အေးချမ်းမှု,Joy
ခက်ခဲတဲ့အချိန်တွေမှာ ရရှိခဲ့တဲ့ အားပေးကူညီမှုတွေအတွက် ကျေးဇူးတင်ခြင်း,Love
ခရီးစဉ်အသစ်တစ်ခုရဲ့ ဖြစ်နိုင်ခြေတွေအပေါ် မျှော်လင့်ချက်ရှိခြင်း,Joy
သင်ယူမှုနဲ့ ကိုယ်ပိုင်တိုးတက်မှုကနေတစ်ဆင့် စွမ်းဆောင်နိုင်မှု မြင့်တက်လာခြင်း,Joy
အားလပ်ရက်တွေအတွင်း လိုအပ်နေသူတွေအပေါ် ကရုဏာထားခြင်း,Love
နွေးထွေးတဲ့ ဆောင်းရာသီညနေခင်းရဲ့ နွေးထွေးမှုထဲက နူးညံ့ကြင်နာမှု,Love
လာမယ့် စွန့်စားခန်းတစ်ခုအတွက် စိတ်လှုပ်ရှားမှုတွေ ဖြစ်ပေါ်လာခြင်း,Joy
ဖန်တီးမှု ပရောဂျက်အသစ်တစ်ခုအတွက် စိတ်အားထက်သန်မှု,Joy
စိန်ခေါ်မှုရှိတဲ့ လေ့ကျင့်ခန်းတစ်ခုကို ပြီးမြောက်အောင်မြင်ခြင်းအတွက် ပြည့်စုံမှု,Joy
ပြတိုက်တစ်ခုမှာ ပြသထားတဲ့ အနုပညာလက်ရာတွေအတွက် ရိုသေလေးစားမှု,Love
ကိုယ်ပိုင်ပန်းတိုင်တစ်ခုကို အောင်မြင်ပြီးနောက် ရွှင်လန်းတက်ကြွမှု,Joy
မြို့ထဲက လျှို့ဝှက်နေရာလေးတစ်ခုကို ရှာဖွေတွေ့ရှိခြင်းအပေါ် ရွှင်လန်းတက်ကြွမှု,Joy
အံ့အားသင့်ဖွယ် မွေးနေ့ပွဲတစ်ခုရဲ့ အလွန်အမင်း ပျော်ရွှင်မှု,Joy
အိမ်ချက်ဟင်းတစ်နပ်ရဲ့ ရိုးရှင်းမှုထဲက ကျေနပ်မှု,Joy
ငြိမ်းချမ်းတဲ့ စန္ဒယားသံစဉ်ထဲမှာ တွေ့ရှိရတဲ့ တည်ငြိမ်အေးချမ်းမှု,Joy
ကျွန်တော့်ပတ်ဝန်းကျင်က အားပေးကူညီတဲ့ လူမှုအသိုင်းအဝိုင်းအတွက် ကျေးဇူးတင်ခြင်း,Love
စီးပွားရေးလုပ်ငန်းအသစ်တစ်ခုရဲ့ အလားအလာတွေအပေါ် မျှော်လင့်ချက်ရှိခြင်း,Joy
အခြားသူတွေကို လမ်းညွှန်ပေးခြင်းနဲ့ အကြံဉာဏ်ပေးခြင်းကနေတစ်ဆင့် စွမ်းဆောင်နိုင်မှု မြင့်တက်လာခြင်း,Joy
လူမှုအသိုင်းအဝိုင်းထဲက ကြင်နာမှုလုပ်ရပ်တွေကနေတစ်ဆင့် ပြသတဲ့ ကရုဏာတရား,Love
ချစ်ခင်ရသူတစ်ယောက်ဆီသို့ ရင်ထဲက စာတစ်စောင်ထဲက နူးညံ့ကြင်နာမှု,Love
အရမ်းစောင့်မျှော်နေတဲ့ ခရီးစဉ်တစ်ခု မတိုင်ခင် စိတ်လှုပ်ရှားမှုတွေ ဖြစ်ပေါ်လာခြင်း,Joy
အလုပ်လုပ်နေဆဲ အနုပညာ ပရောဂျက်အသစ်တစ်ခုအတွက် စိတ်အားထက်သန်မှု,Joy
အခြားသူတွေကို ကူညီပြီးနောက် ပြည့်စုံမှု ခံစားရပါတယ်,Joy
အထင်ကရနေရာတစ်ခုရဲ့ သမိုင်းဝင် အရေးပါမှုအတွက် ရိုသေလေးစားမှု,Love
ကျန်းမာရေး မှတ်တိုင်တစ်ခုကို အောင်မြင်ပြီးနောက် ရွှင်လန်းတက်ကြွမှု,Joy
အောင်မြင်တဲ့ ထုတ်ကုန်မိတ်ဆက်ပွဲတစ်ခုရဲ့ အလွန်အမင်း ပျော်ရွှင်မှု,Joy
ချစ်ခင်ရသူတစ်ယောက်ရဲ့ ပွေ့ဖက်မှုထဲက ကျေနပ်မှု,Joy
